2013-07-01,16650,978.5992792792792,271561.3,NYC
2013-07-02,22745,958.1295669377886,363210.95,NYC
2013-07-03,21864,974.3284851811196,355045.3,NYC
2013-07-04,22326,1273.1084385917763,473723.65,NYC
2013-07-05,21842,1082.426609284864,394039.36666666664,NYC
2013-07-06,20467,1159.5757072360384,395550.6,NYC
2013-07-07,20477,1118.2994090931288,381656.95,NYC
2013-07-08,21615,1289.5298635207032,464553.13333333336,NYC
2013-07-09,26641,965.9312713486731,428889.5833333333,NYC
2013-07-10,25732,931.9172625524639,399668.25,NYC
2013-07-11,24417,1009.7180652823853,410904.76666666666,NYC
2013-07-12,19006,938.1076502157214,297161.23333333334,NYC
2013-07-13,26119,1116.9396607833378,486222.45,NYC
2013-07-14,29287,1161.7602690613583,567074.55,NYC
2013-07-15,28069,919.0969396843493,429968.86666666664,NYC
2013-07-16,29842,907.7130554252396,451466.2166666667,NYC
2013-07-17,30550,880.1669721767594,448151.68333333335,NYC
2013-07-18,28869,862.8295403373861,415150.43333333335,NYC
2013-07-19,26591,880.2631717498401,390117.9666666667,NYC
2013-07-20,25278,1076.8692934567607,453685.0333333333,NYC
2013-07-21,30297,1122.4739413143216,566793.2166666667,NYC
2013-07-22,25979,882.0113553254552,381896.2166666667,NYC
2013-07-23,32376,944.2324870274277,509507.85,NYC
2013-07-24,35271,935.5321652348955,549952.5833333334,NYC
2013-07-25,31084,896.2243919701455,464303.98333333334,NYC
2013-07-26,34534,940.0754329067006,541076.0833333334,NYC
2013-07-27,32470,1134.8639051432092,614150.5166666667,NYC
2013-07-28,23508,1052.6143865917986,412414.31666666665,NYC
2013-07-29,34915,941.4870972361449,547867.0333333333,NYC
2013-07-30,37334,949.6907912358708,590929.2666666667,NYC
2013-07-31,37261,923.5528300367677,573541.7,NYC
2013-08-01,20138,802.62851325851625,269388.88333333336,NYC
2013-08-02,35792,965.4297887796156,575911.05,NYC
2013-08-03,29540,1109.528808395396,546258.0166666667,NYC
2013-08-04,35253,1183.197600204238,695187.75,NYC
2013-08-05,36776,967.1062105721122,592771.6333333333,NYC
2013-08-06,37702,969.552304917511,609234.35,NYC
2013-08-07,34396,881.2136876380974,505170.43333333335,NYC
2013-08-08,28366,859.1932242825918,406197.9166666667,NYC
2013-08-09,29017,908.2915532274184,439264.93333333335,NYC
2013-08-10,37201,1226.5943926238542,760508.9666666667,NYC
2013-08-11,33060,1165.835420447671,642375.3166666667,NYC
2013-08-12,31457,918.3048288139365,481451.9166666667,NYC
2013-08-13,22437,938.9898382136649,351135.25,NYC
2013-08-14,38150,933.3079423328965,593428.3,NYC
2013-08-15,37386,917.9025036109774,571945.05,NYC
2013-08-16,35991,983.3429468478231,589858.2666666667,NYC
2013-08-17,37285,1206.2547673327076,749586.8166666667,NYC
2013-08-18,27612,1016.6207808199333,467848.88333333336,NYC
2013-08-19,33127,893.5369034322456,493336.61666666664,NYC
2013-08-20,35843,898.4825488937868,536738.5,NYC
2013-08-21,36315,905.6935976869063,548171.05,NYC
2013-08-22,26629,864.3148071651208,383597.31666666665,NYC
2013-08-23,33503,944.636898188222,527469.5,NYC
2013-08-24,32941,1084.780304180201,595562.4666666667,NYC
2013-08-25,31755,1143.7922216973705,605352.0333333333,NYC
2013-08-26,29979,928.4972480736516,463923.65,NYC
2013-08-27,34208,904.0684635173059,515439.56666666665,NYC
2013-08-28,28185,849.5433386553132,399072.98333333334,NYC
2013-08-29,34215,858.7881338594184,489723.93333333335,NYC
2013-08-30,32318,926.6491738350145,499124.13333333336,NYC
2013-08-31,25381,1071.5147551317914,453268.6,NYC
2013-09-01,25235,1102.4934812760055,463690.38333333336,NYC
2013-09-02,21416,1011.5311449383638,361049.18333333335,NYC
2013-09-03,32411,866.267193236864,467943.1,NYC
2013-09-04,36798,904.2964291537584,554605,NYC
2013-09-05,35825,875.8939009071877,522981.65,NYC
2013-09-06,35868,888.5964090554254,531202.9333333333,NYC
2013-09-07,34419,1042.5490862604956,598058.2833333333,NYC
2013-09-08,33196,1024.9176105554886,567052.75,NYC
2013-09-09,35394,915.7487992315082,540200.2166666667,NYC
2013-09-10,36954,868.8886724035287,535148.5333333333,NYC
2013-09-11,35812,841.7477940355188,502411.2,NYC
2013-09-12,31252,820.7186100089594,427484.9666666667,NYC
2013-09-13,36501,879.3540724911646,534955.05,NYC
2013-09-14,31607,1001.4423070838739,527543.1166666667,NYC
2013-09-15,31914,1036.1202293664223,551112.35,NYC
2013-09-16,31287,828.2508390066162,431891.4,NYC
2013-09-17,38283,832.9801217250476,531482.9666666667,NYC
2013-09-18,37957,835.9636430697894,528844.5333333333,NYC
2013-09-19,39200,846.8673724489796,553286.6833333333,NYC
2013-09-20,39382,888.6868112335585,583304.4,NYC
2013-09-21,31826,1022.7544146295481,542503.0333333333,NYC
2013-09-22,29758,990.0563209893138,491034.93333333335,NYC
2013-09-23,35152,832.2981622667273,487615.75,NYC
2013-09-24,38417,827.0807715334357,529566.0333333333,NYC
2013-09-25,38223,839.665253904717,534908.75,NYC
2013-09-26,38189,827.1484982586609,526466.2333333333,NYC
2013-09-27,37412,853.8114241419865,532379.8833333333,NYC
2013-09-28,34931,1021.4924851850792,594695.9,NYC
2013-09-29,32592,991.411266568483,538534.6,NYC
2013-09-30,37148,823.7038333153871,509982.5,NYC
2013-10-01,40575,822.3746395563771,556130.85,NYC
2013-10-02,41383,834.8251214266728,575792.8,NYC
2013-10-03,40456,823.4785445916551,555244.1333333333,NYC
2013-10-04,40195,880.3836049259859,589783.65,NYC
